id,version,submitter,model,task,framework,framework_release,accelerator,nodes,accelerators_per_node,world_size,tp,pp,cp,ep,dp,expert_tp,sp,virtual_pp,gbs,mbs,gradient_accumulation,seq_length,batch_unit,precision,strategy,optimizer,verification,notes,config_url,parameters_url,readme_url,result_url,system_url,source_commit,implementation_url,container_url
R01,6.0,NVIDIA,Llama 3.1 8B,稠密预训练,PyTorch / NeMo Megatron-Bridge,NVIDIA NeMo Framework Release 26.04,GB200,256,4,1024,4,1,4,1,64,,True,null,64,1,1,8192,sequences,FP8,DP + distributed optimizer；TP/CP 随规模变化,adamw,GBS/GA 已与 result_0 核对,,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/config_GB200_256x4x1xtp4pp1cp4_8b.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/README.md,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/results/tyche-hsg_ngpu1024_ngc26.04_nemo/llama31_8b/result_0.txt,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/systems/tyche-hsg_ngpu1024_ngc26.04_nemo.json,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/Dockerfile
R02,6.0,NVIDIA,Llama 3.1 8B,稠密预训练,PyTorch / NeMo Megatron-Bridge,NVIDIA NeMo Framework Release 26.04,GB300,128,4,512,2,1,4,1,64,,True,null,64,1,1,8192,sequences,FP8,DP + distributed optimizer；TP/CP 随规模变化,adamw,GBS/GA 已与 result_0 核对,日志 submission_platform 沿用 GB200；系统 JSON 和配置为 GB300。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/config_GB300_128x4x1xtp2pp1cp4_8b.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/README.md,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/results/theia_ngpu512_ngc26.04_nemo/llama31_8b/result_0.txt,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/systems/theia_ngpu512_ngc26.04_nemo.json,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/Dockerfile
R03,6.0,NVIDIA,Llama 3.1 8B,稠密预训练,PyTorch / NeMo Megatron-Bridge,NVIDIA NeMo Framework Release 26.04,GB300,18,4,72,1,1,1,1,72,,False,null,72,1,1,8192,sequences,NVFP4 + FP8 attention,DP + distributed optimizer；TP/CP 随规模变化,adamw,GBS/GA 已与 result_0 核对,日志 submission_platform 沿用 GB200；系统 JSON 和配置为 GB300。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/config_GB300_18x4x1xtp1pp1cp1_8b_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/README.md,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/results/theia_ngpu72_ngc26.04_nemo/llama31_8b/result_0.txt,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/systems/theia_ngpu72_ngc26.04_nemo.json,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/Dockerfile
R04,6.0,NVIDIA,Llama 3.1 8B,稠密预训练,PyTorch / NeMo Megatron-Bridge,NVIDIA NeMo Framework Release 26.04,GB300,2,4,8,1,1,1,1,8,,False,null,16,2,1,8192,sequences,NVFP4 + FP8 attention,DP + distributed optimizer；TP/CP 随规模变化,adamw,GBS/GA 已与 result_0 核对,日志 submission_platform 沿用 GB200；系统 JSON 和配置为 GB300。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/config_GB300_2x4x2xtp1pp1cp1_8b_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/README.md,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/results/theia_ngpu8_ngc26.04_nemo/llama31_8b/result_0.txt,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/systems/theia_ngpu8_ngc26.04_nemo.json,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_8b/implementations/nemo/Dockerfile
R05,6.0,NVIDIA,Llama 3.1 405B,稠密预训练,PyTorch / NeMo Megatron-Bridge,未匹配系统版本,B200,64,8,512,4,8,2,1,8,,True,8,896,1,112,8192,sequences,NVFP4,TP + PP + CP + DP + distributed optimizer；interleaved PP,见参数源,配置推导，未匹配该规模提交日志,VPP=8；126 层的 stage 划分不能简单假设每段均匀。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/config_DGXB200_64x8x112xtp4pp8cp2_cg_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/README.md,,,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/Dockerfile
R06,6.0,NVIDIA,Llama 3.1 405B,稠密预训练,PyTorch / NeMo Megatron-Bridge,未匹配系统版本,B300,64,8,512,2,8,2,1,16,,True,8,896,1,56,8192,sequences,NVFP4,TP + PP + CP + DP + distributed optimizer；interleaved PP,见参数源,配置推导，未匹配该规模提交日志,VPP=8；126 层的 stage 划分不能简单假设每段均匀。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/config_DGXB300_64x8x56xtp2pp8cp2_cg_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/README.md,,,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/Dockerfile
R07,6.0,NVIDIA,Llama 3.1 405B,稠密预训练,PyTorch / NeMo Megatron-Bridge,未匹配系统版本,GB200,128,4,512,4,8,2,1,8,,True,8,896,1,112,8192,sequences,NVFP4,TP + PP + CP + DP + distributed optimizer；interleaved PP,见参数源,配置推导，未匹配该规模提交日志,VPP=8；126 层的 stage 划分不能简单假设每段均匀。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/config_GB200_128x4x112xtp4pp8cp2_cg_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/README.md,,,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/Dockerfile
R08,6.0,NVIDIA,Llama 3.1 405B,稠密预训练,PyTorch / NeMo Megatron-Bridge,NVIDIA NeMo Framework Release 26.04,GB300,128,4,512,2,8,2,1,16,,True,8,896,1,56,8192,sequences,NVFP4,TP + PP + CP + DP + distributed optimizer；interleaved PP,adamw,GBS/GA 已与 result_0 核对,VPP=8；126 层的 stage 划分不能简单假设每段均匀。 日志 submission_platform 沿用 GB200；系统 JSON 和配置为 GB300。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/config_GB300_128x4x56xtp2pp8cp2_cg_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/README.md,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/results/theia-cmh_ngpu512_ngc26.04_nemo/llama31_405b/result_0.txt,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/systems/theia-cmh_ngpu512_ngc26.04_nemo.json,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/Dockerfile
R09,6.0,NVIDIA,Llama 3.1 405B,稠密预训练,PyTorch / NeMo Megatron-Bridge,NVIDIA NeMo Framework Release 26.04,GB300,512,4,2048,2,8,2,1,64,,True,8,1024,1,16,8192,sequences,NVFP4,TP + PP + CP + DP + distributed optimizer；interleaved PP,adamw,GBS/GA 已与 result_0 核对,VPP=8；126 层的 stage 划分不能简单假设每段均匀。 日志 submission_platform 沿用 GB200；系统 JSON 和配置为 GB300。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/config_GB300_512x4x16xtp2pp8cp2_cg_fp4.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/conf/custom.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/README.md,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/results/theia-cmh_ngpu2048_ngc26.04_nemo/llama31_405b/result_0.txt,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/systems/theia-cmh_ngpu2048_ngc26.04_nemo.json,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/llama31_405b/implementations/theia-cmh_ngpu2048_ngc26.04_nemo/Dockerfile
R10,6.0,NVIDIA,DeepSeek-V3 671B,MoE 预训练,PyTorch / NeMo Megatron-Bridge,未匹配系统版本,GB200,64,4,256,2,4,1,32,32,1,True,4,15360,1,480,4096,sequences,MXFP8,TP + PP + EP + DP；ETP=1；MoE 通信重叠,见参数源,配置推导，未匹配该规模提交日志,VPP=4；自定义 PIPELINE_LAYOUT；GB200 配方重计算 mlp，GB300 此处 RECOMPUTE_MODULES 为空。,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/deepseekv3_671b/implementations/theia_ngpu512_ngc26.04_nemo/config_GB200_64x4x480xtp2pp4ep32cp1_mxfp8_full_cg.sh,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/deepseekv3_671b/implementations/theia_ngpu512_ngc26.04_nemo/conf/model/671b.yaml,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/deepseekv3_671b/implementations/theia_ngpu512_ngc26.04_nemo/README.md,,,eabf23a07b2a0c60a289ff871dc3a46fff0d0421,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/deepseekv3_671b/implementations/theia_ngpu512_ngc26.04_nemo/pretrain.py,https://github.com/mlcommons/training_results_v6.0/blob/eabf23a07b2a0c60a289ff871dc3a46fff0d0421/NVIDIA/benchmarks/deepseekv3_671b/implementations/theia_ngpu512_ngc26.04_nemo/Dockerfile
